blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,methodId,functionName,confirmations
10653487,1597346599,0xc2573bb717a0f1bfb011ab5cfbbccc5d999747867b2388f31be0afb670b56e0c,21,0xf2117512965cd69d1cf8d3b54b0c70b9ff24eab26dcb6da6732bb15f242cab58,0x0000000000000000000000000000000000000000,0xff20817765cb7f73d4bde2e66e067e58d11095c2,0x4621e524e6f95a6280b7761bde3d150101b290f8,1000000000000000000,Amp,AMP,18,202,211484,120000000000,196484,12281359,deprecated,0x03438dd0,swap(address),14407993
10692266,1597863251,0xd32694df254df624a41a900cbc624b27fc5b233451d2bef9deb0864c5c41788f,23,0x2ca1483832fd44d3405480322de5f074af179a0067c1839b3921d9612bdcaf3d,0x0000000000000000000000000000000000000000,0xff20817765cb7f73d4bde2e66e067e58d11095c2,0x4621e524e6f95a6280b7761bde3d150101b290f8,2000000000000000000000,Amp,AMP,18,157,93775,107414021114,78775,11402831,deprecated,0x03438dd0,swap(address),14369214
10692310,1597863672,0xb8b536c5bc50b21513605181cb7a852d0445f5607b58129e4e09b49dece324fd,24,0x3be9431701263125d832cd3d6d6724b96e7125167a9ff4cd70deff1bd782b6c8,0x4621e524e6f95a6280b7761bde3d150101b290f8,0xff20817765cb7f73d4bde2e66e067e58d11095c2,0x1879f566d46fc8e59f26500e178fd31bf3493e06,50000000000000000000,Amp,AMP,18,140,220677,100000000000,142918,12104831,deprecated,0xa9059cbb,"transfer(address _to, uint256 _value)",14369170
10700236,1597968095,0xb389c8176fa9f73425c7846808fcc1e47977be4c79d76b4cf6c8fb9125f4051a,298,0xc80b9bdb66a34e985935999fe8d52590ee78dab4d513e0e5586326a775f1df0c,0x1879f566d46fc8e59f26500e178fd31bf3493e06,0xff20817765cb7f73d4bde2e66e067e58d11095c2,0x2a0c0dbecc7e4d658f48e01e3fa353f44050c208,5000000000000000000,Amp,AMP,18,98,190612,88000000000,171412,6574137,deprecated,0x338b5dea,"depositToken(address token, uint256 amount)",14361244
10700248,1597968206,0xb62223d8dcdb3354e872721f19090539bad5f2a38660fe5e26cffd665b7ee9a3,5732886,0xe48312fd4cfd7050656c7ba950593ba4fe489aa1ddd525daee764fbe4ae18201,0x2a0c0dbecc7e4d658f48e01e3fa353f44050c208,0xff20817765cb7f73d4bde2e66e067e58d11095c2,0x1879f566d46fc8e59f26500e178fd31bf3493e06,5000000000000000000,Amp,AMP,18,205,400000,89000000000,71940,11931170,deprecated,0x2295115b,"adminWithdraw(address token, uint256 amount, address user, uint256 nonce, uint8 v, bytes32 r, bytes32 s, uint256 feeWithdrawal)",14361232
10711314,1598116257,0xa0690dc91e3a825ea2f60af6468c818810eb36c44065038d342d56da932c2ed6,25,0x57f0fba0bd3cd5701a7e9be4d29e0346303a4a8529efffa061203927b010c44e,0x4621e524e6f95a6280b7761bde3d150101b290f8,0xff20817765cb7f73d4bde2e66e067e58d11095c2,0x706d7f8b3445d8dfc790c524e3990ef014e7c578,500000000000000000000,Amp,AMP,18,205,342131,100000000000,342131,12035203,deprecated,0x2036a94d,"transferByPartition(bytes32 _partition, address _from, address _to, uint256 _value, bytes _data, bytes _operatorData)",14350166
10711361,1598116808,0x5e5c13f31e61168a724c273c960dd3854e5a0a68945b07ced91c1b388274a84f,27,0x28f453692a19d0117f2bfe7f42d5aa308a5290dbb525f0a6cb0fd0195a9e05a8,0x0000000000000000000000000000000000000000,0xff20817765cb7f73d4bde2e66e067e58d11095c2,0x4621e524e6f95a6280b7761bde3d150101b290f8,3000000000000000000000,Amp,AMP,18,124,93775,96000000000,78775,8776661,deprecated,0x03438dd0,swap(address),14350119
10751297,1598645862,0xc36267b18616d88cc14195ba68cfab982a3709dcad926987788b799cdb3e9abe,55,0x637807e7b13dee8ab6cebd75d64e838f5239f1780bbb9bb8390c93465b3a1dcf,0x0000000000000000000000000000000000000000,0xff20817765cb7f73d4bde2e66e067e58d11095c2,0xf801d77c13009e65a014144ec4376299ba79bcae,200000000000000000000,Amp,AMP,18,65,166472,97020000000,151472,6669431,deprecated,0x03438dd0,swap(address),14310183
10751567,1598649539,0x5b76f35414a559762ff2706df78af2c426761d7eee85d319441aa38116d5c482,56,0x365b732c323a7b455ca45e219ef993f6966e3e3844258d7bd3b905391021c79a,0xf801d77c13009e65a014144ec4376299ba79bcae,0xff20817765cb7f73d4bde2e66e067e58d11095c2,0x706d7f8b3445d8dfc790c524e3990ef014e7c578,10000000000000000000,Amp,AMP,18,17,173470,80000000000,173470,5600392,deprecated,0x2036a94d,"transferByPartition(bytes32 _partition, address _from, address _to, uint256 _value, bytes _data, bytes _operatorData)",14309913
10751648,1598650666,0x268518c15cb8ac0e0b8ce7c948ba6339106a271352b00f08c39d798148c59c0b,58,0xf8658369316c2c814d21473b0d2e768fd0844b3657ab48fa31981d96c7002f4d,0x706d7f8b3445d8dfc790c524e3990ef014e7c578,0xff20817765cb7f73d4bde2e66e067e58d11095c2,0x706d7f8b3445d8dfc790c524e3990ef014e7c578,4000000000000000000,Amp,AMP,18,111,381056,60000000000,376856,11499095,deprecated,0x2036a94d,"transferByPartition(bytes32 _partition, address _from, address _to, uint256 _value, bytes _data, bytes _operatorData)",14309832
10751931,1598654367,0x5b683295104e2f8240c0ff3121b068f91c70bf0e84d87659f2465597dbc6b68c,60,0x848444c489331e01f783a9d159622850ad9c7963fc0170cd4baea8105f1179b8,0x706d7f8b3445d8dfc790c524e3990ef014e7c578,0xff20817765cb7f73d4bde2e66e067e58d11095c2,0xf801d77c13009e65a014144ec4376299ba79bcae,4000000000000000000,Amp,AMP,18,6,213762,66000000000,123762,1399507,deprecated,0x2036a94d,"transferByPartition(bytes32 _partition, address _from, address _to, uint256 _value, bytes _data, bytes _operatorData)",14309549
10815421,1599493501,0x8c2cc88abcb3c19b7dce8bad81e1036f5fc27f74e7d9885fe814de56d395c670,31,0x40e36d35d11c86ae84e2d38cc89edb6b1ec1485e690b2f9306c97816e5d771bc,0x706d7f8b3445d8dfc790c524e3990ef014e7c578,0xff20817765cb7f73d4bde2e66e067e58d11095c2,0x4621e524e6f95a6280b7761bde3d150101b290f8,100000000000000000000,Amp,AMP,18,77,170896,130000000000,170896,6447000,deprecated,0x2036a94d,"transferByPartition(bytes32 _partition, address _from, address _to, uint256 _value, bytes _data, bytes _operatorData)",14246059
10816178,1599503852,0x57f6d0cd958bbcbeb0102caddef55d11b7eef4b97b66aa8e2a95f1244675ab35,48,0x7eca32de7af68cceec4c987900af4a56e14f60cf07090166a7251aceab0bc91b,0x0000000000000000000000000000000000000000,0xff20817765cb7f73d4bde2e66e067e58d11095c2,0x5b8515ee513cecf713ff6986da5c1f824c393032,1000000000000000000,Amp,AMP,18,64,400000,117000000001,204496,5544017,deprecated,0xee22610b,executeTransaction(uint256 transactionId),14245302
10816233,1599504593,0xc476f52834e38a40b76a0cab4e5d107ad6ffe602fba861a526694732c9f8335f,51,0x25cca717050f3a2d8732d39e95545b8e30a43c11599e18a3b65993c33043031f,0x0000000000000000000000000000000000000000,0xff20817765cb7f73d4bde2e66e067e58d11095c2,0x5b8515ee513cecf713ff6986da5c1f824c393032,999999999000000000000000000,Amp,AMP,18,69,350853,111000000001,131787,3575088,deprecated,0xee22610b,executeTransaction(uint256 transactionId),14245247
10816538,1599508627,0x48c9dfb2b673985a892e701e983c8f470201ec234d45dd85e3cc89e8fe5d7367,12,0x6d13798657033ddc9979304f060bb27b0beacfd7cc9f5ccc9c7db47485c2adf8,0x5b8515ee513cecf713ff6986da5c1f824c393032,0xff20817765cb7f73d4bde2e66e067e58d11095c2,0x706d7f8b3445d8dfc790c524e3990ef014e7c578,1000000000000000000,Amp,AMP,18,132,400000,89000000001,232744,10145169,deprecated,0xee22610b,executeTransaction(uint256 transactionId),14244942
10816991,1599514543,0x45bd0a83031d3e3b1ad8048a3098a07f0c3ee7cb805efe8969d526d00e90d1fa,14,0x7e9464423d6918acf8bdca29e4b3c3a558934b8b98cc4bebeebaf9f577eee96a,0x5b8515ee513cecf713ff6986da5c1f824c393032,0xff20817765cb7f73d4bde2e66e067e58d11095c2,0x706d7f8b3445d8dfc790c524e3990ef014e7c578,149999999000000000000000000,Amp,AMP,18,47,400000,83000000001,232744,3312332,deprecated,0xee22610b,executeTransaction(uint256 transactionId),14244489
10817000,1599514664,0xc05318703b8952e765e3e6c9a3485168d9187121b5947dc4499c21924065c679,16,0xd311b2d6e042af9cc4fa1b6640f1868aae708002791fc3faab2ef6ec38448479,0x5b8515ee513cecf713ff6986da5c1f824c393032,0xff20817765cb7f73d4bde2e66e067e58d11095c2,0x706d7f8b3445d8dfc790c524e3990ef014e7c578,650000000000000000000000000,Amp,AMP,18,94,400000,83000000001,356381,6419969,deprecated,0xee22610b,executeTransaction(uint256 transactionId),14244480
10817014,1599514876,0x926296a1fd67f8be9ccdc69ba77caae46077d3b87aca85d54ca53cef2827ea30,32,0x80dd15e2206918f4a5366db84edc96e327d82c115b4b3718f32e2660e216014d,0x0000000000000000000000000000000000000000,0xff20817765cb7f73d4bde2e66e067e58d11095c2,0x4621e524e6f95a6280b7761bde3d150101b290f8,100000000000000000000000,Amp,AMP,18,85,93775,74000000000,78775,12309012,deprecated,0x03438dd0,swap(address),14244466
10817248,1599518220,0x3318aac5ed29746192b3f3396448cbde4561795f5b41547714fdaddfaf3f6e0d,33,0xa12342267ae84f8bc580bc74486bd59703bbc215a917f6819ca82a063926eb44,0x4621e524e6f95a6280b7761bde3d150101b290f8,0xff20817765cb7f73d4bde2e66e067e58d11095c2,0x706d7f8b3445d8dfc790c524e3990ef014e7c578,5742000000000000000000,Amp,AMP,18,90,173506,82000000000,173506,10192001,deprecated,0x2036a94d,"transferByPartition(bytes32 _partition, address _from, address _to, uint256 _value, bytes _data, bytes _operatorData)",14244232
10818495,1599534852,0x4ec4fa74d8cde4fb374d775e4eec0fb2bb027dc72a6a159d801dcbdc1e516e33,5,0x0acc228637b162f89eb053ac541c642f47659f425c5b55b813eb9b9a91a3a831,0x0000000000000000000000000000000000000000,0xff20817765cb7f73d4bde2e66e067e58d11095c2,0x3f146180caffa280abba0f342e0814fc95e599ec,200000000000000000000000000,Amp,AMP,18,67,166484,79000000000,136484,4560546,deprecated,0x03438dd0,swap(address),14242985
10819016,1599541741,0xd530d1d999e2627608790df62ae24b0bf282ab8bf11bec2edd555b6bcdeca9b5,3,0x99c6e3475b2d40281315e2ccaa398092fce79cc97eb6ce7893c51d7e2494b86a,0x0000000000000000000000000000000000000000,0xff20817765cb7f73d4bde2e66e067e58d11095c2,0x62c672ab4d7d845ace82c347c450c823fdbcf559,100000000000000000000000000,Amp,AMP,18,146,166484,69000000000,136484,9571323,deprecated,0x03438dd0,swap(address),14242464
10819038,1599542123,0xcfc7a372b0c52f3f5e075f0f59c04618230da1e9ab7e8fa8f819038da4b6d611,3,0xa2095b1a4e2e716243588de390277383b07ca673a4638eef17d7dc0a31cd5bab,0x0000000000000000000000000000000000000000,0xff20817765cb7f73d4bde2e66e067e58d11095c2,0xeaeaf1c32c12ee3743c771cd3417786a336e8505,200000000000000000000000000,Amp,AMP,18,176,166484,69000000000,136484,10757627,deprecated,0x03438dd0,swap(address),14242442
10819055,1599542351,0xc493e95059ff18e9c1ae5cf3ad51dfbbfb5040ad48ee7823f430655aff1af69c,4,0xfd9c14afdbb0c6585f4ef3d6ee2f2461fa75fb85e30df8bb37fa55f5cf93dadf,0xeaeaf1c32c12ee3743c771cd3417786a336e8505,0xff20817765cb7f73d4bde2e66e067e58d11095c2,0xcfc50541c3deaf725ce738ef87ace2ad778ba0c5,200000000000000000000000000,Amp,AMP,18,51,246925,69000000000,100417,6883707,deprecated,0xa9059cbb,"transfer(address _to, uint256 _value)",14242425
10820743,1599564982,0xd60aa2d48492d58dd3424d5cac7d3850a4936ea107ba1beac00e9bf3bd2a2307,3,0x36dbb88a121135b58b22ad1f279e1d9ae47ad7d0c8419c423798910c99ec9d20,0x0000000000000000000000000000000000000000,0xff20817765cb7f73d4bde2e66e067e58d11095c2,0x941cbe617cac099f71d8c780af48422b1906cae0,800000000000000000000000000,Amp,AMP,18,87,166484,77976131301,136484,8298769,deprecated,0x03438dd0,swap(address),14240737
10820802,1599565699,0xcffd3c3493c165dd9bfe171d38b48e05ca83fa979028c343ea77479d12324d63,7,0x396183316d4756afe30b1537304efe199a020ce990bf47a19323fd2fbbde3f9f,0x0000000000000000000000000000000000000000,0xff20817765cb7f73d4bde2e66e067e58d11095c2,0x6f6a24d746b8df7517187dcd55bfa7ef7ea7e579,3432693000000000000000000,Amp,AMP,18,144,166484,71000000000,136484,10371018,deprecated,0x03438dd0,swap(address),14240678
10820962,1599567687,0xb032cd5b158c728839355a76717ca44526a0b4d59737656b13c2273c2514350a,3,0xcca9e80d0a2c3b068bf6d695b4e5380da001b9e2437b85a059ddb51e83f47137,0x0000000000000000000000000000000000000000,0xff20817765cb7f73d4bde2e66e067e58d11095c2,0x80a2ea8f3a3aa9f171797f624c954923082e59f7,400000000000000000000000000,Amp,AMP,18,107,166484,77520818367,136484,11692593,deprecated,0x03438dd0,swap(address),14240518
10821077,1599569311,0x4b6454313869a11d5ba85b1f93a329678237be277d76b7c57c13ec95498306cf,202,0x5d6eb9bf5c1cfe9b5db609a50c2766254c0cd689b706ae6d0b7871911c32be7c,0x0000000000000000000000000000000000000000,0xff20817765cb7f73d4bde2e66e067e58d11095c2,0x96ee4c272b6f8268b4fef70bb2983e4c6ea8df25,100000000000000000000,Amp,AMP,18,43,166484,90000000000,151484,5511937,deprecated,0x03438dd0,swap(address),14240403
10821077,1599569311,0xfdd3715eda8610cb6c7a25b8cd3ebfe4092a9c14e1baea83dc39b3b382c908fc,11,0x5d6eb9bf5c1cfe9b5db609a50c2766254c0cd689b706ae6d0b7871911c32be7c,0x0000000000000000000000000000000000000000,0xff20817765cb7f73d4bde2e66e067e58d11095c2,0x0b5c33102af77b557f37efc7bfcfa56ee075aafa,63064140870490069641403,Amp,AMP,18,97,166484,85000000000,136484,10743553,deprecated,0x03438dd0,swap(address),14240403
10821079,1599569316,0x3ae7e166c7da6160e10a7143041a7ff78f0465539a62f27074ca3586461d0fd0,2015,0xb4fd678133269b7ff6714377dda35a8b5a7eb352f597e757dbabb57ce59603f6,0xcfc50541c3deaf725ce738ef87ace2ad778ba0c5,0xff20817765cb7f73d4bde2e66e067e58d11095c2,0x08650bb9dc722c9c8c62e79c2bafa2d3fc5b3293,35000000000000000000000,Amp,AMP,18,136,3131916,90000000000,2802631,11377067,deprecated,0xf305d719,"addLiquidityETH(address token, uint256 amountTokenDesired, uint256 amountTokenMin, uint256 amountETHMin, address to, uint256 deadline)",14240401
10821079,1599569316,0x47d572d4bcc4d6b021d643a320e46042e9ad4e07db6d36666ea8f7b8d5642357,86,0xb4fd678133269b7ff6714377dda35a8b5a7eb352f597e757dbabb57ce59603f6,0x08650bb9dc722c9c8c62e79c2bafa2d3fc5b3293,0xff20817765cb7f73d4bde2e66e067e58d11095c2,0xfa4e73aad8b8cf573a120205bb8efc4839fcd85f,17473710565848773159739,Amp,AMP,18,143,300000,89999999999,192606,11877308,deprecated,0xd79875eb,"sell(uint256 amount, uint256 sellPrice)",14240401
10821080,1599569343,0xb4d41e2578f6f409fe7e894eee6cc4d2e28aa7d9df49557f87fe63c9f03e47c6,3648,0x927585637cbe694cb42201423b41fe17fff02cb1b9019f08ace94a433f4555e5,0x08650bb9dc722c9c8c62e79c2bafa2d3fc5b3293,0xff20817765cb7f73d4bde2e66e067e58d11095c2,0xbf06789ee859698ed737d6c9eb404791a85f5e9e,1588952493029805688800,Amp,AMP,18,17,800000,89999999999,342874,1208431,deprecated,0x85d07c9d,,14240400
10821080,1599569343,0xb4d41e2578f6f409fe7e894eee6cc4d2e28aa7d9df49557f87fe63c9f03e47c6,3648,0x927585637cbe694cb42201423b41fe17fff02cb1b9019f08ace94a433f4555e5,0xbf06789ee859698ed737d6c9eb404791a85f5e9e,0xff20817765cb7f73d4bde2e66e067e58d11095c2,0x08650bb9dc722c9c8c62e79c2bafa2d3fc5b3293,15889524930298056888,Amp,AMP,18,17,800000,89999999999,342874,1208431,deprecated,0x85d07c9d,,14240400
10821080,1599569343,0xb4d41e2578f6f409fe7e894eee6cc4d2e28aa7d9df49557f87fe63c9f03e47c6,3648,0x927585637cbe694cb42201423b41fe17fff02cb1b9019f08ace94a433f4555e5,0x08650bb9dc722c9c8c62e79c2bafa2d3fc5b3293,0xff20817765cb7f73d4bde2e66e067e58d11095c2,0xbf06789ee859698ed737d6c9eb404791a85f5e9e,15889524930298056888,Amp,AMP,18,17,800000,89999999999,342874,1208431,deprecated,0x85d07c9d,,14240400
10821085,1599569398,0x80b93717d991fc8dc6b51e3fbdba3be52094afd0706431f660df4a3d7e44dc8a,64,0xb3ed8d03cabb40434efef97224200cf0e5d53117418c36f1f3a1a712d7d514a1,0x0000000000000000000000000000000000000000,0xff20817765cb7f73d4bde2e66e067e58d11095c2,0x83e6e89877c57c26bc090c6019c4004f8b8b0b07,3529513923170180062959275,Amp,AMP,18,149,166472,83000000000,136472,10580068,deprecated,0x03438dd0,swap(address),14240395
10821087,1599569414,0x2468e90031cd4b974f653f82566c89ff8e6faf05011a759366bb6a527df4f612,42,0xa411017be4c95ad33d60cdf6baee89c4bb0315f28d9d3d1cf5cdccdac3505282,0x4621e524e6f95a6280b7761bde3d150101b290f8,0xff20817765cb7f73d4bde2e66e067e58d11095c2,0x706d7f8b3445d8dfc790c524e3990ef014e7c578,98809000000000000000000,Amp,AMP,18,76,190993,82000001459,130993,7215956,deprecated,0x2036a94d,"transferByPartition(bytes32 _partition, address _from, address _to, uint256 _value, bytes _data, bytes _operatorData)",14240393
10821088,1599569417,0x712f40a0c2becba562636ebecc61a8fb8e3e0587c67b4cce42f1a762d5be150c,3786,0xab636a6a677c21b23f3ff4dc819cc266828d3873e8d979d836c56b62cf7d363e,0x08650bb9dc722c9c8c62e79c2bafa2d3fc5b3293,0xff20817765cb7f73d4bde2e66e067e58d11095c2,0x14b95ed55c0825a30c5bf6d4905379e06749b117,2944140250194192493608,Amp,AMP,18,0,272156,750000000000,216123,216123,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",14240392
10821091,1599569451,0x11aa2f6bf01e548e1233c82cd596f8494d43ad99ab8fec4760b0dae5855f304c,42,0x66455447392c3db977b0a1373b0a8e19a8c14ee00d32d1018d58ba546e33fb64,0x0000000000000000000000000000000000000000,0xff20817765cb7f73d4bde2e66e067e58d11095c2,0xb37ce28684b4ff912d53694144d73327143230ff,21402062868100185538722,Amp,AMP,18,67,166484,82000000000,136484,5676206,deprecated,0x03438dd0,swap(address),14240389
10821093,1599569466,0x88d228fa89f565599d477e97bd0ece4f58ebeab6d29b23cbffd6f1cda9bd742a,379,0x0eb7476b11e5caaaf1822262e20ffe01405d8a78e80553294138bb4e8fb75dae,0x08650bb9dc722c9c8c62e79c2bafa2d3fc5b3293,0xff20817765cb7f73d4bde2e66e067e58d11095c2,0xc074e6fe27459284664ae7bf64f927a834fac40e,893579161264706282119,Amp,AMP,18,194,371122,88000000000,216123,10000427,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",14240387
10821094,1599569491,0xc7a4b3539969d06b9a38928d5beef974220cb4a3d22f384a13a9fbc55bbe2039,4292,0xe4f06e073635ebecc107e9a491ca2404469124cad3693631c2a50b883cd8475d,0x08650bb9dc722c9c8c62e79c2bafa2d3fc5b3293,0xff20817765cb7f73d4bde2e66e067e58d11095c2,0xb9ccfc18b941a2cc51a956aa6c83360eb9d58de7,2609978078120626310819,Amp,AMP,18,0,258728,700000000000,216123,216123,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",14240386
10821095,1599569513,0x7c68a05f48d3c918a4b8e526d988a210efca420c61737587748f5949706eef95,87,0x05cc2830871b5756dc6e80baeb752a89358cc1fa23e2978df0fc69c5324337d9,0xfa4e73aad8b8cf573a120205bb8efc4839fcd85f,0xff20817765cb7f73d4bde2e66e067e58d11095c2,0x08650bb9dc722c9c8c62e79c2bafa2d3fc5b3293,17473710565848773159739,Amp,AMP,18,13,300000,141480000000,95300,895669,deprecated,0x7deb6025,"buy(uint256 amount, address token)",14240385
10821096,1599569528,0x04bd1f37210ca244db89f80529ba2ee16726e2aaccd9bad47481b69c551bad41,65,0xe54e1bdd1437e3c2df6a7ad0af12e5d5211c7870883947e278d2c18901c0dce9,0x83e6e89877c57c26bc090c6019c4004f8b8b0b07,0xff20817765cb7f73d4bde2e66e067e58d11095c2,0x706d7f8b3445d8dfc790c524e3990ef014e7c578,3529513000000000000000000,Amp,AMP,18,81,173506,85000000000,173506,5433986,deprecated,0x2036a94d,"transferByPartition(bytes32 _partition, address _from, address _to, uint256 _value, bytes _data, bytes _operatorData)",14240384
10821098,1599569531,0xd2a7bd06592e75ebe83ff169098c14aa55dd853e7b632de1c3999b45c9e17f9e,7,0x7f8b0d18a2e85a3d454f1025fdf8802c0bf6a2519abeafa639294ea79136d8ba,0x0000000000000000000000000000000000000000,0xff20817765cb7f73d4bde2e66e067e58d11095c2,0xb16fcf9f60b1d5fc72906ff74b7c3622b0f4df30,1400258313635097670634826,Amp,AMP,18,136,166484,85000000000,136484,7572659,deprecated,0x03438dd0,swap(address),14240382
10821102,1599569575,0x2133167f62f03f65e07210640530373aad2e743ee9e2c025b9abec4e8fe2133d,3788,0x55a3e9ccd2deb807af97f5a3b48aa2c7c7cfac9063ac7c35308bf19392cab824,0x08650bb9dc722c9c8c62e79c2bafa2d3fc5b3293,0xff20817765cb7f73d4bde2e66e067e58d11095c2,0x14b95ed55c0825a30c5bf6d4905379e06749b117,6312154277613448513033,Amp,AMP,18,0,190894,500000000000,143402,143402,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",14240378
10821103,1599569581,0x7278ec21f4694a5403366233ec01e35f13da45970f8c0877a58af3d8752c0855,43,0xb78ae56237b805a0168fa2c5cb3461cb2374ea03e07f4b4783f33181fac634f8,0xb37ce28684b4ff912d53694144d73327143230ff,0xff20817765cb7f73d4bde2e66e067e58d11095c2,0x706d7f8b3445d8dfc790c524e3990ef014e7c578,21402000000000000000000,Amp,AMP,18,157,173506,83000001459,173506,9289858,deprecated,0x2036a94d,"transferByPartition(bytes32 _partition, address _from, address _to, uint256 _value, bytes _data, bytes _operatorData)",14240377
10821103,1599569581,0x690152daf6ce97d1fefe208e2aa6272e5629bfb88b44cd5dcfc77c5b5b981448,12,0xb78ae56237b805a0168fa2c5cb3461cb2374ea03e07f4b4783f33181fac634f8,0x0b5c33102af77b557f37efc7bfcfa56ee075aafa,0xff20817765cb7f73d4bde2e66e067e58d11095c2,0x706d7f8b3445d8dfc790c524e3990ef014e7c578,63064140870490069641403,Amp,AMP,18,161,191017,83000000000,131017,9672948,deprecated,0x2036a94d,"transferByPartition(bytes32 _partition, address _from, address _to, uint256 _value, bytes _data, bytes _operatorData)",14240377
10821104,1599569599,0x529bea2815c1b8c6157d38833727593cc76dabd5fd3a9b6f1ff1c9309cd353a0,8,0x01c0c80c279937dd928f4984731da09edbdf0c410ec7595b45bac2d6dbbeca11,0xb16fcf9f60b1d5fc72906ff74b7c3622b0f4df30,0xff20817765cb7f73d4bde2e66e067e58d11095c2,0x706d7f8b3445d8dfc790c524e3990ef014e7c578,1400258000000000000000000,Amp,AMP,18,113,173518,82000000000,173518,7931442,deprecated,0x2036a94d,"transferByPartition(bytes32 _partition, address _from, address _to, uint256 _value, bytes _data, bytes _operatorData)",14240376
10821106,1599569619,0xe1c8bc4d3d09830918817b8617a8b5c52c289877cd873c9cae55f88a93945e01,654,0xccd8dd4c3c85fb553e3fc049fd2325096a81b19c764e5d72c3defa124f012148,0x08650bb9dc722c9c8c62e79c2bafa2d3fc5b3293,0xff20817765cb7f73d4bde2e66e067e58d11095c2,0x98b2b02302de225835aea95af8ec30701ee36121,5364258340230539974458,Amp,AMP,18,33,272169,100000000000,216135,2336060,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",14240374
10821109,1599569682,0x69fd78dc554d7421b8b64d846832bef503e34467814dd1a60676dd7a3972a249,3197,0x06a5b5a6d63889b4cdd5e8316d8f3358e02628c41bf59415bb7e0753eba0e00c,0x0000000000000000000000000000000000000000,0xff20817765cb7f73d4bde2e66e067e58d11095c2,0x88e0a61798a3ced52f7654a5d79a90737f346631,1650640261600000000000000,Amp,AMP,18,9,166484,90200000000,151484,4907079,deprecated,0x03438dd0,swap(address),14240371
10821111,1599569715,0x147920061dcee7b23cc9dfc618473a2c83a72c8a8939023c86b678474cf3b56f,3636,0x7f2287985c39de17acc73557c656bda4413dd162d8d92d09e2346fe308dddf53,0x08650bb9dc722c9c8c62e79c2bafa2d3fc5b3293,0xff20817765cb7f73d4bde2e66e067e58d11095c2,0x51f4f6bb08338bf315d895acec4695b8ab12ba30,2718478736452448177195,Amp,AMP,18,1,272156,500000000000,216123,242332,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",14240369
10821112,1599569731,0x31f2daf02c5b90299aede5a58fc762441ca853e35372789ef908302ea85ad045,2016,0x9263f99dca3670ee6a8890018afdebf2e7f2217ab0de7605462f627a6080ddf9,0xcfc50541c3deaf725ce738ef87ace2ad778ba0c5,0xff20817765cb7f73d4bde2e66e067e58d11095c2,0x08650bb9dc722c9c8c62e79c2bafa2d3fc5b3293,5000000000000000000000,Amp,AMP,18,201,214262,90000000000,165302,11031165,deprecated,0x18cbafe5,"swapExactTokensForETH(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)",14240368
10821113,1599569763,0xa2e7710d4e1f4fe5a977a74977d4511254a7a2ed1d790eb250884197eb4d5c24,381,0xd6f143884e6e8edf6c8739b89cb0e2c7ddfdbfd960ed76020065e5c8801c634c,0x08650bb9dc722c9c8c62e79c2bafa2d3fc5b3293,0xff20817765cb7f73d4bde2e66e067e58d11095c2,0xc074e6fe27459284664ae7bf64f927a834fac40e,1894857392881230169533,Amp,AMP,18,32,260328,88000000000,143414,2135107,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",14240367
10821114,1599569769,0x652383e329412b868511c8efbe62950ac4a7adb1ffefae4dc6407e0df3f00c9c,448,0x3cf46187d09cbb9ad0daec52bc59090aa520821a195a31e64dcd8aa0bd90c6ca,0x08650bb9dc722c9c8c62e79c2bafa2d3fc5b3293,0xff20817765cb7f73d4bde2e66e067e58d11095c2,0x0d54d614e9f7f5bd58401094e4fe82d17f922c66,2840954380746889731250,Amp,AMP,18,0,258728,300000000000,216123,216123,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",14240366
10821118,1599569816,0xf2735e1b931f07062bb5f5037b6ddebffa183cf7184c0cf01912823723da301a,2017,0x6cb4d9f94b5935a46bd3955c2054e50cf7f22e0ae12220bcb6a3bfe9f28c629b,0xcfc50541c3deaf725ce738ef87ace2ad778ba0c5,0xff20817765cb7f73d4bde2e66e067e58d11095c2,0x08650bb9dc722c9c8c62e79c2bafa2d3fc5b3293,23317379891130252503528,Amp,AMP,18,75,230118,90000000000,179501,9105268,deprecated,0xf305d719,"addLiquidityETH(address token, uint256 amountTokenDesired, uint256 amountTokenMin, uint256 amountETHMin, address to, uint256 deadline)",14240362
